LeadSource,JobRole,ContactNotes,LeadProfile,UsedPromo,DoNotReachOut,Region,Converted,Lead_ProspectID
Referral,Finance,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,d00a55ac-cfd8-4595-bcf2-ba3e6fec9c43
Referral,Finance,NeedsCaseStudy,Large,UsedPromo,FALSE,APAC,1,840b1efc-1106-427e-b27e-2f216ff60fc4
Event,Marketing,NeedsTraining,Medium,UsedPromo,TRUE,LATAM,1,2e3c49f3-2ae8-416e-b018-c2d6648e3ba4
Event,HR,NeedsCaseStudy,Medium,UsedPromo,TRUE,APAC,1,6600bf0a-fa8a-4598-9597-a485743e4391
Digital Ad,Management,NeedsCaseStudy,Small,UsedPromo,TRUE,EMEA,1,6b1c468a-0cf3-4678-bb54-31084b5d1697
Organic,Finance,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,96c44f2f-f489-4cfd-94c3-c5de0be35702
Digital Ad,Engineering,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,141aa7ba-ce44-4d4e-acf8-afa54cdf6990
Organic,Operations,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,21ba07a9-c55f-4f98-9b1b-a3638bee3120
Organic,Finance,NeedsTraining,Large,NoPromo,FALSE,LATAM,0,293c6e8a-52bf-4327-9024-543dbdf71d07
Referral, Sales,ContentPresentation,Large,NoPromo,TRUE,EMEA,1,84376cee-e727-4198-a79f-6422fd2ce69b
Event, Sales,NeedsCaseStudy,Large,UsedPromo,FALSE,APAC,0,6d8d9fa8-6aa4-4086-afed-1ee1dbe6cb82
Referral,Operations,ContentPresentation,Medium,UsedPromo,FALSE,LATAM,1,21be04d6-0178-44b9-982b-0d7a898da861
Cold Uutbound, Sales,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,afcdc6e2-6448-4ba1-86c0-dc6d4cf88de9
Referral,Finance,NeedsCaseStudy,Medium,NoPromo,TRUE,APAC,1,fdb81cc0-5c23-4fa5-a03d-0845b3540aba
Cold Uutbound,HR,FeatureRequest,Small,NoPromo,FALSE,APAC,0,9f46df53-d822-4684-8ab7-a4f60574b079
Referral, Sales,NeedsCaseStudy,Medium,UsedPromo,FALSE,LATAM,1,35e458ca-4316-4d44-bb73-3f3e862d2207
Event,Finance,NeedsCaseStudy,Small,NoPromo,FALSE,NAMER,1,875211ce-7e18-4a24-8c35-9cd506d171b7
Digital Ad,Finance,NeedsCaseStudy,Large,NoPromo,TRUE,LATAM,0,d86943f0-7954-409e-89b9-1ea8db7f33db
Digital Ad,Management,ContentPresentation,Medium,NoPromo,TRUE,EMEA,0,7f1d5095-0152-48ed-a619-b37c18f33198
Event,HR,FeatureRequest,Medium,UsedPromo,FALSE,NAMER,0,a1c2ec2d-c9f1-4782-b014-3bdc5fda6afa
Cold Uutbound,Management,ContentPresentation,Small,NoPromo,FALSE,EMEA,0,c488ad5f-82f0-48ec-b505-cc3fb1eb0924
Digital Ad,Management,FeatureRequest,Small,UsedPromo,FALSE,APAC,1,f0150e1a-b0e0-4a80-997e-d87fc3842683
Cold Uutbound,HR,NeedsCaseStudy,Small,UsedPromo,TRUE,APAC,0,ec39d367-3b51-48c3-8247-85fbf1eb530c
Digital Ad,Engineering,FeatureRequest,Small,NoPromo,TRUE,LATAM,1,a3521680-8127-4fe3-9b07-f78ac34de37f
Event, Sales,NeedsCaseStudy,Small,NoPromo,TRUE,EMEA,1,7922a6a7-32f6-40a9-9717-f9f45186ed09
Referral,Operations,ContentPresentation,Medium,UsedPromo,TRUE,NAMER,1,728a2e85-fb28-4ef2-8747-34b415418dce
Event,HR,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,1,a0d07d80-cc7d-46ef-88b2-f12ad416a6dc
Cold Uutbound,Finance,ContentPresentation,Medium,NoPromo,TRUE,EMEA,0,ca6215e8-3948-43d0-b2d4-a61e12db9d63
Cold Uutbound,Marketing,NeedsTraining,Large,UsedPromo,FALSE,APAC,1,2301ac18-286d-4a2b-863d-de45fbf6a633
Event,Finance,NeedsTraining,Large,NoPromo,FALSE,EMEA,1,735fb04a-34a7-4eb0-a932-3cedaf9af701
Digital Ad,Marketing,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,de24ca89-7238-49cb-b9e2-4580660127d3
Cold Uutbound,Operations,NeedsCaseStudy,Medium,UsedPromo,FALSE,LATAM,1,03be89cd-edb3-4bed-b853-359831850ce9
Organic,Engineering,FeatureRequest,Small,UsedPromo,TRUE,LATAM,0,9d5a6016-54e4-4f1b-a03e-19bdf50147b2
Event,Engineering,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,630e3ff8-7f01-48d1-9913-0dd51aa71085
Cold Uutbound,HR,NeedsCaseStudy,Large,NoPromo,FALSE,APAC,0,33ba9104-2e9d-40cb-83b1-a70457df0e7a
Cold Uutbound,Management,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,c491653f-b2ee-4fa9-b033-c8d3e4e45dfe
Cold Uutbound,Engineering,NeedsTraining,Small,UsedPromo,TRUE,EMEA,1,7c469e06-b9f4-442d-a058-b7de92cfbe45
Organic, Sales,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,6fda896f-a8b6-4404-bbb8-de16732e9dc5
Digital Ad,Engineering,ContentPresentation,Small,NoPromo,FALSE,EMEA,0,1bc1a1b8-a4e0-46be-817b-9f4edde0272c
Event, Sales,NeedsCaseStudy,Small,NoPromo,FALSE,EMEA,0,53d2bd6e-60d0-4139-818d-e5378d47a99f
Organic,Engineering,ContentPresentation,Large,UsedPromo,FALSE,EMEA,1,d4853082-d8dc-43b4-94b5-c907d2a7f44a
Cold Uutbound, Sales,NeedsTraining,Medium,NoPromo,FALSE,NAMER,0,07e0f794-028d-423b-a282-cbbdf7b5a8c9
Referral,Management,FeatureRequest,Medium,UsedPromo,TRUE,NAMER,0,07b7bb55-40e4-4eff-a95b-195a6bce478c
Organic,HR,NeedsCaseStudy,Medium,NoPromo,FALSE,EMEA,0,51ed5109-2bb0-4298-adfe-b9105ab19ccb
Referral,Operations,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,8dbe4c82-735a-47b5-9823-a662f913b79d
Digital Ad,Finance,NeedsTraining,Small,NoPromo,TRUE,APAC,0,315ea8ff-67f4-4773-abc6-0be83f71f297
Organic,Engineering,ContentPresentation,Medium,NoPromo,TRUE,APAC,0,beee3c70-dcdc-43c8-ba3e-dfe92b9f2ffc
Cold Uutbound, Sales,NeedsCaseStudy,Small,UsedPromo,TRUE,APAC,1,a973c120-82ff-4b9e-8050-02f521ec80e8
Cold Uutbound,Marketing,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,e2fa20b9-8abc-4b83-bd22-6ed72ac24058
Cold Uutbound,HR,NeedsCaseStudy,Small,UsedPromo,TRUE,NAMER,1,25db4de7-a862-4444-8413-3079248eca24
Organic,Management,ContentPresentation,Medium,NoPromo,FALSE,EMEA,0,6ba9ec4c-5551-447b-9a70-5d47e5aeec2c
Cold Uutbound,Finance,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,d8b9a649-2160-4089-b9d1-07cee6567e08
Digital Ad,Engineering,NeedsCaseStudy,Small,UsedPromo,TRUE,LATAM,1,48950af9-cf11-4f1f-8b17-0f73c7090f79
Organic,Engineering,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,eeb19591-d5b8-47f3-8ea7-5f8b4a11b682
Referral,Management,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,14b2845a-2c03-4acf-88a9-2fc256181716
Digital Ad,Operations,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,811eefde-c2bb-4de5-89f1-884d86aef28c
Event,Finance,NeedsCaseStudy,Small,UsedPromo,FALSE,EMEA,1,00f452b5-faef-43a7-ba35-dafb9824d8b2
Event,HR,NeedsTraining,Small,UsedPromo,FALSE,NAMER,1,0fc29d31-d047-4164-8ff9-57c2e160d9c2
Organic,Marketing,FeatureRequest,Small,NoPromo,TRUE,NAMER,1,cb236a3e-26f8-42cf-9088-aeb889df01eb
Organic,Engineering,FeatureRequest,Medium,UsedPromo,FALSE,LATAM,0,01e88c8a-b3db-4391-831c-ef286b173a6e
Cold Uutbound,Engineering,NeedsTraining,Large,NoPromo,FALSE,EMEA,0,f46e2028-d010-4787-897c-03d522940e43
Event, Sales,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,8fd2cf76-9f13-4ab3-8e1b-7100566c901c
Cold Uutbound,Finance,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,9289e6cd-6d96-4b29-a0e5-fcb33aadbe55
Digital Ad,Marketing,NeedsTraining,Large,NoPromo,FALSE,EMEA,0,f805f378-b855-47e1-99fc-89794235c115
Digital Ad,Engineering,NeedsTraining,Medium,NoPromo,TRUE,EMEA,0,bbd77a99-a890-42cd-a287-812f59d710f3
Referral,HR,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,0,b5c41c91-fc45-4aaf-98f9-ef6d4e33bdb7
Event,Management,NeedsTraining,Small,UsedPromo,TRUE,APAC,1,b6a5fc19-53ff-4fea-8c8c-01b12c6365c7
Digital Ad,Engineering,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,baa9219d-88c1-45c0-a3b1-d56a6575bb7d
Event,Marketing,ContentPresentation,Medium,UsedPromo,FALSE,LATAM,1,bcec963d-c234-49cb-a13a-053dbf540258
Event,HR,ContentPresentation,Large,NoPromo,TRUE,LATAM,0,d9a49e76-5aad-4411-a386-5c4736cea15b
Referral, Sales,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,1,cc0c9473-22a6-47cb-9636-c914b94ecb2d
Event,Engineering,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,87611f3a-7005-4858-8ed2-492120dd3934
Cold Uutbound, Sales,NeedsCaseStudy,Large,UsedPromo,FALSE,APAC,0,322c8171-45ad-4b1b-b182-847e9b5cf7d0
Referral,Marketing,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,b804080f-aa72-49e8-9081-e0952e1c7ef5
Event,Finance,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,e852eb79-eee6-415b-b3d2-bd4e7fb281fe
Cold Uutbound,Engineering,NeedsCaseStudy,Large,UsedPromo,TRUE,NAMER,1,585ee640-5ab7-4e8d-b5f7-a34f0f037829
Digital Ad,HR,ContentPresentation,Large,NoPromo,FALSE,APAC,0,52ec8d4e-bf39-4e8c-8d99-9e0c623cca19
Referral,Management,NeedsCaseStudy,Medium,UsedPromo,TRUE,APAC,1,3a7c0d24-7d27-478a-bd33-f24e1067f999
Digital Ad,Finance,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,2edd7fbf-9606-41b1-a32f-74883ca0dcc4
Digital Ad,Marketing,NeedsTraining,Large,NoPromo,TRUE,LATAM,0,bda0e5b0-d12a-4875-97bd-012b5d544952
Digital Ad,Marketing,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,cf58518b-14f0-4921-8e42-cb45c0b590f1
Referral,Operations,FeatureRequest,Small,UsedPromo,FALSE,APAC,0,51044be5-f6d4-4cf9-a0d4-7061634f2408
Organic,Finance,ContentPresentation,Medium,NoPromo,FALSE,APAC,1,be607a85-f24f-4364-8433-805842eaf099
Cold Uutbound,Management,FeatureRequest,Medium,UsedPromo,FALSE,EMEA,0,4185442b-6620-4ab4-8d80-3f4a207554bf
Event,Marketing,ContentPresentation,Medium,UsedPromo,TRUE,LATAM,1,388a1852-c095-44b1-b2f6-0ede459d3ce8
Event,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,8143c3c7-5f3a-4710-baad-a3dba5671973
Digital Ad,Operations,NeedsTraining,Large,UsedPromo,FALSE,LATAM,1,c4875cdb-cd1c-455f-b4e8-edad59202c77
Cold Uutbound,Engineering,ContentPresentation,Large,UsedPromo,TRUE,NAMER,1,6ce683a7-09a3-4fc4-9c21-5f5611cdb33e
Digital Ad,Management,NeedsCaseStudy,Small,NoPromo,TRUE,APAC,0,9557dd5f-d57f-42c1-8e4e-d38e1b48fc79
Digital Ad,Operations,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,f0061480-dbeb-4d69-b27c-a786d72a3e1c
Referral, Sales,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,2a2eab51-0119-4f3d-b5bd-cd4217b21459
Digital Ad,Operations,NeedsTraining,Large,NoPromo,FALSE,NAMER,0,c58d0f7b-d00d-4e9d-8961-ff0da255f0ba
Organic,Finance,FeatureRequest,Small,UsedPromo,TRUE,EMEA,0,b743f8b0-5dfd-4c56-bf62-69ee543b49f5
Digital Ad,Operations,NeedsTraining,Large,UsedPromo,TRUE,NAMER,0,c0dab398-45fb-429f-a3d6-3b311d399a08
Referral,Finance,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,880bd934-b3b3-4bf8-a44c-7588bac809f1
Digital Ad,Finance,NeedsTraining,Large,NoPromo,FALSE,APAC,0,d517ebe6-2fc6-4c82-a340-cd48f8fd28fc
Organic,Engineering,NeedsTraining,Small,UsedPromo,FALSE,NAMER,1,233b3e87-e9f6-4b82-825c-dd1594a4bac7
Organic,Operations,NeedsCaseStudy,Small,NoPromo,FALSE,LATAM,0,aeb675ae-76a4-4af2-846f-9dbb81d2e1fe
Digital Ad, Sales,NeedsCaseStudy,Large,UsedPromo,FALSE,APAC,0,23da52ab-f662-44d9-b5f9-ca82a298e6c8
Digital Ad,HR,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,c7c59177-6c3a-4a23-97b8-780b81822b81
Event,Marketing,NeedsCaseStudy,Medium,UsedPromo,TRUE,NAMER,1,37d9b09c-bb66-4d23-8b85-dd5a70b14910
Referral,Finance,FeatureRequest,Small,NoPromo,FALSE,APAC,0,eba2b06b-8c89-4c87-b6e4-01af7073c1d5
Digital Ad,Engineering,NeedsCaseStudy,Medium,NoPromo,FALSE,NAMER,0,ea18a62d-be9e-4837-96fd-cefe78fe2952
Referral,Operations,ContentPresentation,Large,UsedPromo,TRUE,APAC,1,900525cd-d447-43c9-b4d5-e6426f9cce2d
Organic, Sales,ContentPresentation,Medium,NoPromo,TRUE,NAMER,0,98d1c421-918a-4337-9f15-02485ca7d9e1
Cold Uutbound, Sales,FeatureRequest,Medium,UsedPromo,TRUE,APAC,0,0d145b5a-a753-4961-9967-11fe2165c072
Event,Finance,ContentPresentation,Medium,UsedPromo,FALSE,EMEA,1,0e8fe1c9-aa49-409d-b1c5-b63d28f66bb7
Organic,Marketing,ContentPresentation,Large,NoPromo,TRUE,EMEA,1,33d52303-535b-408a-818b-789b76b4acda
Referral,Management,ContentPresentation,Large,UsedPromo,FALSE,EMEA,0,f323ac90-52aa-465c-a6b3-87e4da14207e
Organic,HR,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,5eced80b-8a5f-44c5-8b99-d62b9d17bec9
Organic,Finance,FeatureRequest,Large,NoPromo,TRUE,APAC,0,663af694-4447-406f-9e40-bb340c144628
Digital Ad,Management,ContentPresentation,Medium,UsedPromo,FALSE,EMEA,1,97833c19-a717-49ae-a37f-661c23d40b69
Digital Ad,Marketing,FeatureRequest,Large,NoPromo,FALSE,LATAM,0,e97baec2-2bb1-4ea0-adcd-e7fa2aa3e38c
Cold Uutbound, Sales,ContentPresentation,Large,NoPromo,TRUE,LATAM,1,b2c23d89-64f7-46f5-b67d-fbbd7b7ea35d
Organic,Management,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,1a675069-d5e1-41eb-8f07-3316d202c617
Cold Uutbound,Marketing,FeatureRequest,Small,UsedPromo,TRUE,APAC,1,3915bf07-e23f-4b45-a2b9-6a3716a2fa8c
Referral,Management,FeatureRequest,Medium,NoPromo,FALSE,EMEA,0,ff7446ad-e7d5-4acd-9f5a-68a4bf29b333
Organic,Finance,ContentPresentation,Medium,UsedPromo,TRUE,EMEA,1,6faba362-5af6-4213-aa21-f49b1fb066ae
Event,HR,FeatureRequest,Large,NoPromo,TRUE,NAMER,1,0b3fcdfb-391b-427e-bf48-e7e54522f1a1
Referral,Operations,ContentPresentation,Small,NoPromo,FALSE,APAC,0,29eb66d9-8f50-4fb5-8575-d57304f1c859
Cold Uutbound,Management,FeatureRequest,Small,UsedPromo,TRUE,EMEA,1,d0306103-95f7-46d7-b323-2a78ab9f6d06
Referral, Sales,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,6d0f3256-28af-4b2b-98c8-7e42728d53df
Digital Ad,Engineering,NeedsTraining,Large,UsedPromo,TRUE,EMEA,0,daf85855-8171-4502-8f8c-d7279574db6b
Organic,Finance,ContentPresentation,Large,NoPromo,FALSE,APAC,0,afd7b3a5-78e5-4311-ad90-b72c1bd3c3b2
Referral,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,LATAM,0,42dcd2fe-7cce-4fb1-84e8-5c45c78376d7
Organic, Sales,ContentPresentation,Large,UsedPromo,TRUE,NAMER,0,ea764660-250d-4ba6-a45a-00191ec1b993
Organic,Engineering,FeatureRequest,Small,NoPromo,FALSE,NAMER,1,8bf3c201-deb4-4dc2-a89e-912dd5b08896
Referral,Management,NeedsCaseStudy,Small,NoPromo,TRUE,LATAM,0,2b39e84d-2570-49d8-8b17-ad3e0b5080d4
Organic,Finance,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,1,d262d496-29a9-45a2-af9c-fa5295caedd2
Cold Uutbound,Marketing,ContentPresentation,Large,UsedPromo,FALSE,LATAM,1,4dbfb468-0f8a-44aa-9999-fa1f50454e94
Event,HR,FeatureRequest,Medium,NoPromo,FALSE,EMEA,0,6bcedbff-d523-48e0-b909-874fa17cc7e7
Referral,Operations,FeatureRequest,Small,UsedPromo,TRUE,NAMER,1,a2249d5b-c49b-4004-8d8d-68933af137c7
Referral,Finance,FeatureRequest,Small,NoPromo,TRUE,NAMER,1,42a651f6-12f1-4ca5-b994-40269c20acac
Organic,Marketing,NeedsCaseStudy,Large,NoPromo,FALSE,APAC,0,5896b1e7-c6f0-43f6-a2fd-2aad4d20ef35
Event,Engineering,NeedsTraining,Medium,UsedPromo,FALSE,EMEA,1,d5daa338-9abd-456c-a2af-9dbf26ed518f
Referral, Sales,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,1a266867-2cc6-45c3-8e11-3153a18e3d79
Referral,Marketing,NeedsCaseStudy,Large,NoPromo,FALSE,APAC,1,7f1c1d09-407d-4608-98c5-4fe7190a1921
Organic,Management,FeatureRequest,Small,UsedPromo,FALSE,LATAM,1,c7999437-5203-405f-966d-2b0b3f99a87d
Event,Engineering,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,4a655a0f-8f05-4353-8767-7d2bdf8fde5b
Organic,Management,NeedsCaseStudy,Large,UsedPromo,TRUE,NAMER,1,57e6ca27-7f22-4543-9f4b-6424ddd50553
Event,Finance,FeatureRequest,Small,UsedPromo,FALSE,NAMER,0,37ee339e-81b6-4b26-851e-b00bbffd1de4
Digital Ad,Finance,FeatureRequest,Medium,NoPromo,TRUE,APAC,1,e481dfca-5bc6-4e38-b9c8-e5a53343e8a7
Referral,Management,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,1,b6825499-ed2e-4de3-bd0f-c8546563988b
Digital Ad,Management,FeatureRequest,Large,NoPromo,TRUE,EMEA,1,afdbfabb-3311-47d4-ad4c-bb89ef0c8eb9
Referral,Operations,ContentPresentation,Large,NoPromo,FALSE,APAC,1,d55681c5-cea7-4a33-a917-e402b65ecf14
Cold Uutbound, Sales,NeedsCaseStudy,Small,NoPromo,FALSE,EMEA,0,65ffaf1f-de99-4124-b619-1e13db58069c
Digital Ad,Operations,ContentPresentation,Medium,NoPromo,FALSE,LATAM,0,bef82581-7683-4792-bc29-748f9fe5108e
Referral,Operations,ContentPresentation,Large,NoPromo,FALSE,APAC,1,84c09e0d-94de-42ef-bb51-37f947ac49a8
Referral,HR,FeatureRequest,Medium,NoPromo,FALSE,LATAM,0,23d7fe6d-7035-4c69-8f73-77fee0cb473e
Digital Ad,Operations,NeedsTraining,Large,NoPromo,FALSE,LATAM,0,dd4974ff-187c-4698-8625-e04263926db0
Event,Marketing,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,189c1c23-188c-4793-910b-fbee765dba0e
Cold Uutbound, Sales,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,4216f6e4-a243-44d9-aac2-6c9cc42c9a96
Referral,Engineering,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,d4887f76-9cb3-4acb-ac10-e6e083d26071
Event, Sales,NeedsTraining,Medium,UsedPromo,TRUE,LATAM,1,e647b353-2cda-4c7b-a926-3c731ebde828
Referral,Management,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,b2de5030-cf43-4435-b6a7-4a15a76d1a91
Organic,Operations,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,42a37d5d-29bc-4170-9b4f-2f31da054a12
Organic,Management,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,799b23eb-1723-4dd0-82a1-d16caac7c8ab
Cold Uutbound,Management,FeatureRequest,Small,NoPromo,TRUE,LATAM,1,65cef5f6-9582-4ffe-9a93-09e408682d4b
Referral,HR,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,f537c571-5a41-4abe-a327-328dc232ae52
Digital Ad,HR,FeatureRequest,Medium,NoPromo,TRUE,LATAM,1,6528a4f0-44ef-4f43-93c0-20040cf1ab92
Referral,HR,NeedsCaseStudy,Small,NoPromo,TRUE,NAMER,1,262f09bc-6423-49a7-9b96-f1712c086466
Referral, Sales,NeedsCaseStudy,Large,UsedPromo,FALSE,EMEA,1,96230927-bbbc-4e2b-92ff-69540fad67c3
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,1,bdf991ff-3a90-4d28-8cb5-c71ba8e74d04
Digital Ad,Finance,FeatureRequest,Small,UsedPromo,FALSE,NAMER,0,b5406d90-759e-4b20-aed4-6aeb36e0f886
Organic, Sales,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,8b1d42bb-cbbb-4d52-9868-26ce5e253a04
Digital Ad, Sales,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,f37ec26e-964c-423c-b7ac-bdcc6b4506d0
Referral, Sales,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,0,7f7e9560-ac9c-427c-b206-1b0f664a6e7f
Referral,Management,NeedsTraining,Large,NoPromo,TRUE,APAC,1,a1bf4e23-b199-43e1-a3a3-5ae63c053aa1
Referral, Sales,NeedsCaseStudy,Medium,UsedPromo,TRUE,NAMER,1,374d7117-8639-4b3c-b2f2-f744b913c2aa
Event,HR,ContentPresentation,Large,NoPromo,TRUE,APAC,0,03585291-f1b2-4f9f-8151-0e4a98eb5554
Cold Uutbound,Marketing,FeatureRequest,Small,NoPromo,TRUE,LATAM,1,81c09580-e6af-4807-826c-33bd8917be33
Digital Ad,Marketing,FeatureRequest,Medium,UsedPromo,TRUE,APAC,0,12ba7008-a69f-4689-96a5-7b4ad526ab91
Cold Uutbound,Finance,ContentPresentation,Small,UsedPromo,TRUE,LATAM,1,c3e1bdf1-8165-46bf-9eec-552da67bdbf4
Referral,HR,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,2213038c-47a6-4665-8994-f3924f144be1
Event,HR,NeedsTraining,Large,UsedPromo,FALSE,LATAM,1,bdc8e496-3ab2-4a74-bfb3-15f85cb0f301
Referral,Operations,ContentPresentation,Medium,UsedPromo,FALSE,APAC,1,5122ee6f-5589-4ed6-af24-5efeb8328a80
Digital Ad,Engineering,FeatureRequest,Small,UsedPromo,TRUE,APAC,1,d4ab7e9a-f92a-4ca7-b240-132f24f63180
Organic,Finance,NeedsTraining,Large,NoPromo,FALSE,LATAM,1,ab968227-19dc-40b4-a0f0-29bf911f8323
Digital Ad, Sales,NeedsCaseStudy,Small,UsedPromo,TRUE,EMEA,1,d8b2e7df-8cbe-413c-bca3-1bcdfac896e8
Organic,HR,FeatureRequest,Small,UsedPromo,TRUE,LATAM,0,48ebfa1f-357d-4556-a348-4a2488bfaa8f
Event,Finance,NeedsTraining,Small,UsedPromo,TRUE,APAC,1,f9b91cfc-8a4f-49ad-9a76-9048c5f857e3
Cold Uutbound,HR,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,8bbb293f-afd4-4600-b8b7-a468f5cbb51f
Cold Uutbound,Finance,FeatureRequest,Small,UsedPromo,FALSE,APAC,1,3cc526da-7193-422d-9186-fa6bb7009e91
Cold Uutbound,Management,ContentPresentation,Small,UsedPromo,TRUE,EMEA,1,15f72c64-c04d-4b5f-99e2-3b24d5080ac1
Organic,Engineering,NeedsCaseStudy,Medium,NoPromo,FALSE,APAC,1,178a804e-5056-4d28-9245-86fd7fc80522
Event,Operations,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,6506c63b-77bb-493c-b64d-c279e4689427
Referral,Management,NeedsCaseStudy,Large,NoPromo,TRUE,APAC,1,eb2f3b0c-40c8-4b5c-8349-6249d0b17d12
Digital Ad, Sales,NeedsCaseStudy,Large,NoPromo,TRUE,LATAM,0,5b63cbde-306f-45a6-9cc6-361051ff8067
Organic,HR,ContentPresentation,Large,NoPromo,TRUE,EMEA,0,9531f8a7-9259-44c9-914a-39a1fa8d2c7b
Cold Uutbound,Management,NeedsTraining,Medium,UsedPromo,FALSE,EMEA,1,d48bf6ac-fd9c-4db5-90f6-e022216fd854
Organic,Finance,FeatureRequest,Medium,NoPromo,TRUE,LATAM,0,0e352df6-900c-49d4-a8b6-a2a5eb775d92
Digital Ad,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,LATAM,1,39fd2594-8926-46b1-9da5-362674e48e45
Organic,Operations,FeatureRequest,Small,NoPromo,TRUE,APAC,0,e268561e-c3b8-47cc-b902-a4713d0224fa
Organic,Engineering,FeatureRequest,Medium,NoPromo,FALSE,NAMER,0,f38e9885-62cb-4366-a1eb-c312e6f4709b
Referral,Operations,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,4633cc29-2b8f-455f-8f93-a183941d78b4
Event,Management,NeedsTraining,Small,UsedPromo,FALSE,LATAM,1,044d80d0-1fd6-431d-b0a5-818d39591128
Referral,Management,FeatureRequest,Small,UsedPromo,FALSE,NAMER,1,b5639ec1-c935-4262-b9ba-7494453ccbae
Organic,Marketing,NeedsCaseStudy,Medium,UsedPromo,TRUE,NAMER,1,cb17f585-df7a-4b1c-8a19-9c37044ed80d
Organic,Finance,NeedsCaseStudy,Medium,UsedPromo,FALSE,LATAM,1,c93a6e20-a316-476d-a1a7-0eef3942d659
Organic,Management,NeedsCaseStudy,Large,UsedPromo,FALSE,EMEA,0,b4833951-4ec2-4ca0-9947-5759a2f0a1e9
Referral, Sales,ContentPresentation,Medium,NoPromo,FALSE,EMEA,0,ef0ce3a3-d0b0-48ec-9511-c81211d61dd6
Digital Ad,Marketing,NeedsTraining,Medium,UsedPromo,FALSE,APAC,1,ff6c1ad0-0343-4187-b8fd-ce5eea1e699f
Event,Marketing,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,0d43769f-884a-4d9d-879e-a75a5644a4d6
Event,Engineering,NeedsTraining,Large,NoPromo,TRUE,NAMER,1,febbc099-5952-4249-9c1c-4aaa0faa58e9
Event,Finance,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,0,5c5c30f0-fa2d-4da4-bab9-447277bf58f4
Event,Management,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,82f21173-e54f-486f-a4f2-5dd8f4461550
Event,Marketing,NeedsTraining,Small,UsedPromo,TRUE,EMEA,0,734e0432-47ca-42b8-90d1-be5c5d924521
Event, Sales,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,2773f614-cb26-4c7f-bacd-f2a98b5e2728
